time,temp,output,slope,
713.4139414,137.189,55,0.003760378,
714.5415952,137.19,55,0.003746291,
715.6675482,137.191,55,0.003732259,
716.7917383,137.193,55,0.003718302,
717.9197929,137.194,55,0.003704401,
719.0494866,137.196,55,0.003690575,
720.1654749,137.197,55,0.003676807,
721.2870934,137.198,55,0.00366308,
722.4112389,137.2,55,0.003649431,
723.5410163,137.201,55,0.003635841,
724.6688087,137.203,55,0.003622331,
725.7934904,137.204,55,0.003608862,
726.9197912,137.206,55,0.003595455,
728.0446627,137.207,55,0.003582111,
729.1667869,137.208,55,0.003568829,
730.2822301,137.21,55,0.003555611,
731.4112027,137.212,55,0.003542457,
732.5276847,137.212,55,0.003529349,
733.6583853,137.214,55,0.003516306,
734.7868991,137.215,55,0.00350331,
735.9084675,137.217,55,0.00349038,
737.033612,137.218,55,0.003477499,
738.1619701,137.219,55,0.003464667,
739.2847185,137.221,55,0.003451904,
740.4053957,137.222,55,0.003439173,
741.5265536,137.223,55,0.003426512,
742.6539974,137.225,55,0.003413921,
743.7779999,137.226,55,0.003401364,
744.9018641,137.227,55,0.003388859,
746.0275278,137.229,55,0.003376427,
747.1513948,137.23,55,0.003364029,
748.2742109,137.231,55,0.003351686,
749.396203,137.232,55,0.00333938,
750.5257468,137.234,55,0.003327148,
751.6455665,137.235,55,0.003314953,
752.7668688,137.236,55,0.003302816,
753.894629,137.237,55,0.003290717,
755.0181115,137.239,55,0.003278695,
756.1449785,137.24,55,0.003266713,
757.2717576,137.241,55,0.003254772,
758.3946574,137.243,55,0.00324289,
759.5160842,137.244,55,0.00323105,
760.630604,137.245,55,0.003219271,
761.757551,137.246,55,0.003207535,
762.8742645,137.248,55,0.003195861,
763.9955416,137.249,55,0.003184231,
765.1199663,137.25,55,0.003172646,
766.2426982,137.251,55,0.003161105,
767.3646111,137.252,55,0.00314961,
768.4933374,137.253,55,0.003138142,
769.622499,137.255,55,0.00312674,
770.7416422,137.256,55,0.003115366,
771.8704538,137.257,55,0.003104058,
772.9965761,137.258,55,0.003092779,
774.1149774,137.259,55,0.003081549,
775.2462869,137.26,55,0.00307035,
776.3634112,137.262,55,0.003059219,
777.4856236,137.263,55,0.003048138,
778.6001234,137.264,55,0.003037089,
779.7226601,137.265,55,0.003026091,
780.8463986,137.266,55,0.003015126,
781.9615073,137.267,55,0.003004214,
783.0898144,137.268,55,0.002993336,
784.2060459,137.269,55,0.002982492,
785.3358078,137.271,55,0.00297172,
786.4583924,137.272,55,0.002960984,
787.5803995,137.273,55,0.002950284,
788.7026324,137.274,55,0.002939621,
789.8268912,137.275,55,0.002929014,
790.9537454,137.276,55,0.002918425,
792.0825531,137.277,55,0.002907874,
793.2059381,137.278,55,0.002897381,
794.3313427,137.279,55,0.002886926,
795.4473526,137.28,55,0.002876511,
796.5752232,137.282,55,0.002866155,
797.7060773,137.282,55,0.002855801,
798.8209238,137.284,55,0.002845507,
799.9451122,137.285,55,0.002835254,
801.0632255,137.286,55,0.002825043,
802.1906757,137.286,55,0.002814856,
803.3097651,137.288,55,0.002804731,
804.4413891,137.289,55,0.00279463,
805.5577264,137.29,55,0.002784574,
806.6837282,137.291,55,0.002774542,
807.8074052,137.292,55,0.002764556,
808.9260199,137.293,55,0.002754614,
810.0548398,137.294,55,0.0027447,
811.1668487,137.295,55,0.002734832,
812.2845223,137.296,55,0.002724992,
813.4149437,137.296,55,0.002715181,
814.5421531,137.298,55,0.002705416,
815.6636899,137.299,55,0.002695681,
816.7898889,137.3,55,0.002685993,
817.9182119,137.301,55,0.002676354,
819.0390999,137.302,55,0.002666727,
820.157764,137.303,55,0.00265715,
821.2850287,137.304,55,0.002647604,
822.4147012,137.304,55,0.00263809,
823.5485213,137.306,55,0.002628606,
824.6790411,137.306,55,0.002619156,
825.7975335,137.308,55,0.002609739,
826.9229269,137.308,55,0.002600374,
828.0493186,137.31,55,0.002591043,
829.1670277,137.31,55,0.002581728,
830.2865748,137.311,55,0.002572448,
831.4189003,137.313,55,0.002563221,
832.5448525,137.313,55,0.002554012,
833.6635036,137.314,55,0.002544838,
834.795336,137.315,55,0.002535682,
835.9270823,137.316,55,0.002526563,
837.050096,137.317,55,0.0025175,
838.1625695,137.318,55,0.002508456,
839.2934694,137.319,55,0.002499451,
840.424737,137.32,55,0.002490465,
841.552381,137.321,55,0.002481517,
842.675106,137.322,55,0.002472609,
843.7931626,137.322,55,0.002463723,
844.9226282,137.324,55,0.002454876,
846.0486171,137.324,55,0.002446051,
847.1744595,137.325,55,0.002437267,
848.2895138,137.326,55,0.002428506,
849.4171143,137.327,55,0.002419787,
850.5368114,137.328,55,0.002411073,
851.657702,137.329,55,0.002402421,
852.7892153,137.329,55,0.002393774,
853.9199739,137.331,55,0.002385169,
855.0370522,137.331,55,0.002376591,
856.1648862,137.332,55,0.002368037,
857.2935681,137.333,55,0.002359528,
858.4236431,137.334,55,0.002351044,
859.5384367,137.335,55,0.002342588,
860.6532125,137.336,55,0.00233416,
861.7823009,137.337,55,0.002325777,
862.8995702,137.337,55,0.002317404,
864.0304377,137.338,55,0.002309058,
865.1631014,137.339,55,0.002300741,
866.2814994,137.339,55,0.002292434,
867.4009862,137.34,55,0.002284157,
868.5331075,137.341,55,0.002275927,
869.6555381,137.342,55,0.002267728,
870.7740669,137.343,55,0.00225956,
871.8931706,137.343,55,0.002251385,
873.0051351,137.344,55,0.002243241,
874.1288822,137.345,55,0.002235148,
875.2504451,137.346,55,0.002227087,
876.3800895,137.346,55,0.00221902,
877.5074286,137.347,55,0.002210985,
878.6327915,137.348,55,0.002202983,
879.7583878,137.348,55,0.002194996,
880.8772631,137.349,55,0.002187042,
881.9948905,137.35,55,0.002179123,
883.1242967,137.351,55,0.002171238,
884.2409611,137.351,55,0.00216337,
885.3703022,137.353,55,0.002155536,
886.4971256,137.353,55,0.002147719,
887.6220143,137.354,55,0.002139937,
888.7346163,137.355,55,0.002132192,
889.8594933,137.355,55,0.002124464,
890.9757748,137.356,55,0.002116774,
892.1044023,137.356,55,0.002109083,
893.23244,137.357,55,0.00210143,
894.363194,137.358,55,0.002093795,
895.486954,137.358,55,0.00208618,
896.6096108,137.359,55,0.002078604,
897.7368267,137.359,55,0.002071029,
898.8625772,137.361,55,0.002063493,
899.991461,137.361,55,0.002055977,
901.1138859,137.362,55,0.002048502,
902.2319615,137.363,55,0.002041048,
903.3572588,137.363,55,0.002033597,
904.4749115,137.364,55,0.002026188,
905.5887837,137.364,55,0.002018783,
906.7034757,137.365,55,0.00201142,
907.831459,137.366,55,0.00200408,
908.9590631,137.367,55,0.001996781,
910.0822515,137.367,55,0.001989489,
911.2076533,137.368,55,0.00198222,
912.3316624,137.368,55,0.001974957,
913.4479096,137.369,55,0.001967738,
914.5684357,137.37,55,0.001960545,
915.6856625,137.37,55,0.001953358,
916.8125067,137.371,55,0.001946198,
917.9453752,137.371,55,0.001939044,
919.0645945,137.372,55,0.001931936,
920.1795728,137.373,55,0.001924855,
921.2949874,137.373,55,0.001917782,
922.4179564,137.373,55,0.001910719,
923.5412741,137.375,55,0.001903701,
924.6698775,137.375,55,0.001896693,
925.791827,137.375,55,0.001889695,
926.9164224,137.376,55,0.001882725,
928.0403254,137.377,55,0.001875785,
929.1690481,137.377,55,0.001868854,
930.2925742,137.378,55,0.001861954,
931.4185989,137.379,55,0.001855083,
932.5439997,137.38,55,0.001848242,
933.6680486,137.38,55,0.001841413,
934.7888381,137.38,55,0.001834596,
935.9182563,137.381,55,0.00182781,
937.0488517,137.381,55,0.001821037,
938.1700907,137.382,55,0.001814295,
939.2844193,137.383,55,0.001807586,
940.3997641,137.383,55,0.001800872,
941.5325148,137.384,55,0.001794191,
942.663964,137.384,55,0.001787523,
943.7949307,137.385,55,0.001780888,
944.9223275,137.385,55,0.001774249,
946.0405047,137.386,55,0.001767645,
947.1556945,137.386,55,0.001761056,
948.2746751,137.386,55,0.001754483,
949.40467,137.387,55,0.001747944,
950.5211146,137.388,55,0.001741422,
951.6536467,137.388,55,0.001734917,
952.7811246,137.389,55,0.001728447,
953.9090111,137.389,55,0.001721975,
955.0358417,137.39,55,0.001715539,
956.1497455,137.39,55,0.001709103,
957.2693257,137.391,55,0.001702704,
958.3948882,137.391,55,0.001696323,
959.5111034,137.392,55,0.001689961,
960.6358328,137.392,55,0.001683618,
961.7585821,137.392,55,0.001677276,
962.8854408,137.393,55,0.001670972,
963.9994195,137.393,55,0.00166467,
965.1274867,137.394,55,0.001658406,
966.2455444,137.394,55,0.001652144,
967.3681474,137.395,55,0.001645903,
968.4947827,137.395,55,0.001639682,
969.6190622,137.396,55,0.001633501,
970.7348938,137.396,55,0.001627323,
971.8638856,137.396,55,0.001621166,
972.989203,137.397,55,0.001615032,
974.1237772,137.397,55,0.0016089,
975.2481215,137.398,55,0.001602791,
976.3686714,137.398,55,0.001596705,
977.483808,137.399,55,0.001590643,
978.6145227,137.399,55,0.001584584,
979.7336278,137.4,55,0.00157855,
980.8634739,137.4,55,0.001572521,
981.9898374,137.4,55,0.001566516,
983.1083605,137.401,55,0.001560535,
984.2378657,137.401,55,0.00155456,
985.3579504,137.401,55,0.001548592,
986.483258,137.402,55,0.001542667,
