time,temp,heater output,goal temp
618.2423181533813,125.544,45.0,118.1628437185665
619.7693226337433,125.536,45.0,118.1628437185665
621.297375202179,125.531,45.0,118.1628437185665
622.8224287033081,125.524,45.0,118.1628437185665
624.3437638282776,125.518,45.0,118.1628437185665
625.8793692588806,125.511,45.0,118.1628437185665
627.4153907299042,125.505,45.0,118.1628437185665
628.9490327835083,125.499,45.0,118.1628437185665
630.4894623756409,125.492,45.0,118.1628437185665
632.0287220478058,125.487,45.0,118.1628437185665
633.5688655376434,125.48,45.0,118.1628437185665
635.1083800792694,125.474,45.0,118.1628437185665
636.645925283432,125.468,45.0,118.1628437185665
638.1749587059021,125.462,45.0,118.1628437185665
639.6994960308075,125.456,45.0,118.1628437185665
641.2138650417328,125.45,45.0,118.1628437185665
642.7459976673126,125.444,45.0,118.1628437185665
644.2841422557831,125.438,45.0,118.1628437185665
645.813878774643,125.432,45.0,118.1628437185665
647.3457725048065,125.426,45.0,118.1628437185665
648.8818056583405,125.419,45.0,118.1628437185665
650.4180574417114,125.414,45.0,118.1628437185665
651.957864522934,125.408,45.0,118.1628437185665
653.4901497364044,125.401,45.0,118.1628437185665
655.0197865962982,125.395,45.0,118.1628437185665
656.5375425815582,125.39,45.0,118.1628437185665
658.073070526123,125.383,45.0,118.1628437185665
659.6090421676636,125.377,45.0,118.1628437185665
661.148318529129,125.371,45.0,118.1628437185665
662.6870360374451,125.365,45.0,118.1628437185665
664.2244219779968,125.359,45.0,118.1628437185665
665.7629618644714,125.353,45.0,118.1628437185665
667.3017990589142,125.347,45.0,118.1628437185665
668.8321135044098,125.341,45.0,118.1628437185665
670.3675053119659,125.335,45.0,118.1628437185665
671.8871414661407,125.328,45.0,118.1628437185665
673.414781332016,125.322,45.0,118.1628437185665
674.958300113678,125.316,45.0,118.1628437185665
676.4889209270477,125.31,45.0,118.1628437185665
678.0216481685638,125.304,45.0,118.1628437185665
679.5559289455414,125.298,45.0,118.1628437185665
681.0943055152893,125.292,45.0,118.1628437185665
682.6279139518738,125.286,45.0,118.1628437185665
684.1682024002075,125.28,45.0,118.1628437185665
685.6999888420105,125.273,45.0,118.1628437185665
687.2263631820679,125.268,45.0,118.1628437185665
688.7417929172516,125.262,45.0,118.1628437185665
690.2771875858307,125.256,45.0,118.1628437185665
691.8127679824829,125.25,45.0,118.1628437185665
693.3387410640717,125.244,45.0,118.1628437185665
694.8768382072449,125.238,45.0,118.1628437185665
696.4153089523315,125.232,45.0,118.1628437185665
697.9442977905273,125.227,45.0,118.1628437185665
699.4718327522278,125.221,45.0,118.1628437185665
701.0074191093445,125.215,45.0,118.1628437185665
702.5292482376099,125.209,45.0,118.1628437185665
704.0522148609161,125.204,45.0,118.1628437185665
705.5829129219055,125.198,45.0,118.1628437185665
707.116213798523,125.192,45.0,118.1628437185665
708.6533725261688,125.187,45.0,118.1628437185665
710.1935300827026,125.181,45.0,118.1628437185665
711.7282102108002,125.175,45.0,118.1628437185665
713.268435716629,125.17,45.0,118.1628437185665
714.8057308197021,125.163,45.0,118.1628437185665
716.3412108421326,125.158,45.0,118.1628437185665
717.8715560436249,125.152,45.0,118.1628437185665
719.3999202251434,125.146,45.0,118.1628437185665
720.9294061660767,125.14,45.0,118.1628437185665
722.4458200931549,125.135,45.0,118.1628437185665
723.9791893959045,125.129,45.0,118.1628437185665
725.5178773403168,125.123,45.0,118.1628437185665
727.0478315353394,125.118,45.0,118.1628437185665
728.5875568389893,125.112,45.0,118.1628437185665
730.1157548427582,125.106,45.0,118.1628437185665
731.6445469856262,125.101,45.0,118.1628437185665
733.1711938381195,125.096,45.0,118.1628437185665
734.7002911567688,125.09,45.0,118.1628437185665
736.2054505348206,125.084,45.0,118.1628437185665
737.7376127243042,125.079,45.0,118.1628437185665
739.2738728523254,125.072,45.0,118.1628437185665
740.8057906627655,125.067,45.0,118.1628437185665
742.3462882041931,125.062,45.0,118.1628437185665
743.8738248348236,125.056,45.0,118.1628437185665
745.4108054637909,125.051,45.0,118.1628437185665
746.9518959522247,125.045,45.0,118.1628437185665
748.4776875972748,125.039,45.0,118.1628437185665
750.0041081905365,125.034,45.0,118.1628437185665
751.5332117080688,125.028,45.0,118.1628437185665
753.0453903675079,125.023,45.0,118.1628437185665
754.5699596405029,125.018,45.0,118.1628437185665
756.108380317688,125.012,45.0,118.1628437185665
757.6423802375793,125.007,45.0,118.1628437185665
759.1676857471466,125.002,45.0,118.1628437185665
760.7040121555328,124.996,45.0,118.1628437185665
762.2297594547272,124.99,45.0,118.1628437185665
763.77197265625,124.985,45.0,118.1628437185665
765.3043117523193,124.979,45.0,118.1628437185665
766.8317410945892,124.974,45.0,118.1628437185665
768.3632192611694,124.969,45.0,118.1628437185665
769.888459444046,124.963,45.0,118.1628437185665
771.4259860515594,124.958,45.0,118.1628437185665
772.9527971744537,124.952,45.0,118.1628437185665
774.4859240055084,124.947,45.0,118.1628437185665
776.0247533321381,124.941,45.0,118.1628437185665
777.5556125640869,124.936,45.0,118.1628437185665
779.0922093391418,124.93,45.0,118.1628437185665
780.6301157474518,124.924,45.0,118.1628437185665
782.1621782779694,124.919,45.0,118.1628437185665
783.6961646080017,124.914,45.0,118.1628437185665
785.2226278781891,124.908,45.0,118.1628437185665
786.7487704753876,124.903,45.0,118.1628437185665
788.2918248176575,124.897,45.0,118.1628437185665
789.8229513168335,124.891,45.0,118.1628437185665
791.3623864650726,124.886,45.0,118.1628437185665
792.8895988464355,124.88,45.0,118.1628437185665
794.4212274551392,124.875,45.0,118.1628437185665
795.961580991745,124.869,45.0,118.1628437185665
797.4762048721313,124.864,45.0,118.1628437185665
799.0074062347412,124.858,45.0,118.1628437185665
800.5354673862457,124.852,45.0,118.1628437185665
802.0743577480316,124.847,45.0,118.1628437185665
803.6113791465759,124.842,45.0,118.1628437185665
805.1423232555389,124.836,45.0,118.1628437185665
806.67822432518,124.831,45.0,118.1628437185665
808.2044620513916,124.825,45.0,118.1628437185665
809.7323486804962,124.82,45.0,118.1628437185665
811.2660529613495,124.815,45.0,118.1628437185665
812.7944388389587,124.809,45.0,118.1628437185665
814.32404255867,124.804,45.0,118.1628437185665
815.8453395366669,124.799,45.0,118.1628437185665
817.3681716918945,124.794,45.0,118.1628437185665
818.9001228809357,124.788,45.0,118.1628437185665
820.4328088760376,124.783,45.0,118.1628437185665
821.9717664718628,124.778,45.0,118.1628437185665
823.5106964111328,124.773,45.0,118.1628437185665
825.0442881584167,124.768,45.0,118.1628437185665
826.5771398544312,124.763,45.0,118.1628437185665
828.1164696216583,124.758,45.0,118.1628437185665
829.6520941257477,124.753,45.0,118.1628437185665
831.1844220161438,124.747,45.0,118.1628437185665
832.7035045623779,124.743,45.0,118.1628437185665
834.2396936416626,124.738,45.0,118.1628437185665
835.7765016555786,124.733,45.0,118.1628437185665
837.3160710334778,124.728,45.0,118.1628437185665
838.8459024429321,124.723,45.0,118.1628437185665
840.3805341720581,124.718,45.0,118.1628437185665
841.9138071537018,124.713,45.0,118.1628437185665
843.4500079154968,124.709,45.0,118.1628437185665
844.9774582386017,124.704,45.0,118.1628437185665
846.5053462982178,124.699,45.0,118.1628437185665
848.0382523536682,124.695,45.0,118.1628437185665
849.5646500587463,124.69,45.0,118.1628437185665
851.0921363830566,124.685,45.0,118.1628437185665
852.6282134056091,124.681,45.0,118.1628437185665
854.1622447967529,124.676,45.0,118.1628437185665
855.7016322612762,124.671,45.0,118.1628437185665
857.2368304729462,124.666,45.0,118.1628437185665
858.7700617313385,124.662,45.0,118.1628437185665
860.3049445152283,124.657,45.0,118.1628437185665
861.8352715969086,124.652,45.0,118.1628437185665
863.3567891120911,124.647,45.0,118.1628437185665
864.8777396678925,124.643,45.0,118.1628437185665
866.4198958873749,124.638,45.0,118.1628437185665
867.945643901825,124.633,45.0,118.1628437185665
869.486617565155,124.628,45.0,118.1628437185665
871.0211458206177,124.623,45.0,118.1628437185665
872.561559677124,124.618,45.0,118.1628437185665
874.1028439998627,124.613,45.0,118.1628437185665
875.6383759975433,124.609,45.0,118.1628437185665
877.1676561832428,124.604,45.0,118.1628437185665
878.6983659267426,124.599,45.0,118.1628437185665
880.2147340774536,124.594,45.0,118.1628437185665
881.7434463500977,124.589,45.0,118.1628437185665
883.2737240791321,124.584,45.0,118.1628437185665
884.8112463951111,124.579,45.0,118.1628437185665
886.3448469638824,124.574,45.0,118.1628437185665
887.8668899536133,124.57,45.0,118.1628437185665
889.3906946182251,124.565,45.0,118.1628437185665
890.9299304485321,124.56,45.0,118.1628437185665
892.4673094749451,124.555,45.0,118.1628437185665
893.9972004890442,124.55,45.0,118.1628437185665
895.5240349769592,124.545,45.0,118.1628437185665
897.0488011837006,124.54,45.0,118.1628437185665
898.5820760726929,124.536,45.0,118.1628437185665
900.1179265975952,124.531,45.0,118.1628437185665
901.6517424583435,124.526,45.0,118.1628437185665
903.1898443698883,124.521,45.0,118.1628437185665
904.7178440093994,124.516,45.0,118.1628437185665
906.2535870075226,124.511,45.0,118.1628437185665
907.7933354377747,124.506,45.0,118.1628437185665
909.332186460495,124.502,45.0,118.1628437185665
910.8641312122345,124.497,45.0,118.1628437185665
912.395174741745,124.492,45.0,118.1628437185665
913.9074740409851,124.488,45.0,118.1628437185665
915.4275045394897,124.483,45.0,118.1628437185665
916.9490096569061,124.479,45.0,118.1628437185665
918.4857423305511,124.474,45.0,118.1628437185665
920.0226805210114,124.47,45.0,118.1628437185665
921.5559918880463,124.465,45.0,118.1628437185665
923.0957605838776,124.461,45.0,118.1628437185665
924.6319236755371,124.456,45.0,118.1628437185665
926.1575109958649,124.452,45.0,118.1628437185665
927.680864572525,124.448,45.0,118.1628437185665
929.2071266174316,124.444,45.0,118.1628437185665
930.7483913898468,124.439,45.0,118.1628437185665
932.2795188426971,124.435,45.0,118.1628437185665
933.8026793003082,124.431,45.0,118.1628437185665
935.3372893333435,124.427,45.0,118.1628437185665
936.8745067119598,124.423,45.0,118.1628437185665
938.4091339111328,124.418,45.0,118.1628437185665
939.9444797039032,124.414,45.0,118.1628437185665
941.4744942188263,124.411,45.0,118.1628437185665
943.0031642913818,124.406,45.0,118.1628437185665
944.5220038890839,124.402,45.0,118.1628437185665
946.058408498764,124.398,45.0,118.1628437185665
947.5852155685425,124.394,45.0,118.1628437185665
949.118480682373,124.39,45.0,118.1628437185665
950.6523146629333,124.386,45.0,118.1628437185665
952.1905081272125,124.382,45.0,118.1628437185665
953.7277588844299,124.378,45.0,118.1628437185665
955.2654819488525,124.374,45.0,118.1628437185665
956.7978296279907,124.37,45.0,118.1628437185665
958.3162670135498,124.365,45.0,118.1628437185665
959.842141866684,124.361,45.0,118.1628437185665
961.3676743507385,124.357,45.0,118.1628437185665
962.8836770057678,124.353,45.0,118.1628437185665
964.4185614585876,124.348,45.0,118.1628437185665
965.9553084373474,124.344,45.0,118.1628437185665
967.4957048892975,124.34,45.0,118.1628437185665
969.0323705673218,124.336,45.0,118.1628437185665
970.576000213623,124.331,45.0,118.1628437185665
972.1127631664276,124.327,45.0,118.1628437185665
973.6467115879059,124.323,45.0,118.1628437185665
975.171136379242,124.318,45.0,118.1628437185665
976.7048871517181,124.314,45.0,118.1628437185665
978.244482755661,124.31,45.0,118.1628437185665
979.7795829772949,124.305,45.0,118.1628437185665
981.3130736351013,124.301,45.0,118.1628437185665
982.8519065380096,124.296,45.0,118.1628437185665
984.3903379440308,124.292,45.0,118.1628437185665
985.9217057228088,124.287,45.0,118.1628437185665
987.4589445590973,124.283,45.0,118.1628437185665
988.995374917984,124.279,45.0,118.1628437185665
990.5246422290802,124.274,45.0,118.1628437185665
992.057297706604,124.27,45.0,118.1628437185665
993.5912380218506,124.266,45.0,118.1628437185665
995.1288356781006,124.262,45.0,118.1628437185665
996.6657781600952,124.258,45.0,118.1628437185665
998.1945071220398,124.254,45.0,118.1628437185665
999.7223048210144,124.249,45.0,118.1628437185665
1001.2597415447235,124.245,45.0,118.1628437185665
1002.7980074882507,124.24,45.0,118.1628437185665
1004.3365833759308,124.236,45.0,118.1628437185665
1005.8671805858612,124.233,45.0,118.1628437185665
1007.3933475017548,124.228,45.0,118.1628437185665
1008.9129972457886,124.224,45.0,118.1628437185665
1010.4458496570587,124.22,45.0,118.1628437185665
1011.9805781841278,124.216,45.0,118.1628437185665
1013.5200321674347,124.211,45.0,118.1628437185665
1015.0495989322662,124.207,45.0,118.1628437185665
1016.5853672027588,124.204,45.0,118.1628437185665
1018.1266484260559,124.199,45.0,118.1628437185665
1019.666021823883,124.196,45.0,118.1628437185665
1021.2012753486633,124.191,45.0,118.1628437185665
1022.7293658256531,124.187,45.0,118.1628437185665
1024.2617225646973,124.183,45.0,118.1628437185665
1025.8000490665436,124.179,45.0,118.1628437185665
1027.3415129184723,124.176,45.0,118.1628437185665
1028.8664746284485,124.172,45.0,118.1628437185665
1030.3978791236877,124.168,45.0,118.1628437185665
1031.9395043849945,124.164,45.0,118.1628437185665
1033.4782946109772,124.16,45.0,118.1628437185665
1035.0205037593842,124.156,45.0,118.1628437185665
1036.5544877052307,124.152,45.0,118.1628437185665
1038.0834140777588,124.149,45.0,118.1628437185665
1039.6128647327423,124.144,45.0,118.1628437185665
1041.1346430778503,124.141,45.0,118.1628437185665
1042.6644020080566,124.137,45.0,118.1628437185665
1044.2043697834015,124.133,45.0,118.1628437185665
1045.7435286045074,124.129,45.0,118.1628437185665
1047.2862095832825,124.125,45.0,118.1628437185665
1048.826123714447,124.121,45.0,118.1628437185665
1050.365529537201,124.117,45.0,118.1628437185665
1051.8981494903564,124.114,45.0,118.1628437185665
1053.4271402359009,124.109,45.0,118.1628437185665
1054.96004652977,124.106,45.0,118.1628437185665
1056.4857814311981,124.102,45.0,118.1628437185665
1057.9994657039642,124.099,45.0,118.1628437185665
1059.5425927639008,124.095,45.0,118.1628437185665
1061.0825493335724,124.091,45.0,118.1628437185665
1062.6156058311462,124.087,45.0,118.1628437185665
1064.1497440338135,124.083,45.0,118.1628437185665
1065.6878516674042,124.08,45.0,118.1628437185665
1067.2161026000977,124.075,45.0,118.1628437185665
1068.752342224121,124.071,45.0,118.1628437185665
1070.2811961174011,124.068,45.0,118.1628437185665
1071.8110229969025,124.064,45.0,118.1628437185665
1073.3497858047485,124.06,45.0,118.1628437185665
1074.8798325061798,124.056,45.0,118.1628437185665
1076.413437128067,124.052,45.0,118.1628437185665
1077.9417130947113,124.049,45.0,118.1628437185665
1079.47532248497,124.044,45.0,118.1628437185665
1081.0019526481628,124.041,45.0,118.1628437185665
1082.5321550369263,124.036,45.0,118.1628437185665
1084.0699813365936,124.033,45.0,118.1628437185665
1085.6091210842133,124.029,45.0,118.1628437185665
1087.1409313678741,124.025,45.0,118.1628437185665
